YEAR,MO,DY,HR,WS10M,WD10M,RH2M,T2M
2023,1,13,21,2.47,150.1,97.16,22.61
2023,1,13,22,2.38,149.8,97.46,22.35
2023,1,13,23,2.3,150.3,97.84,22.07
2023,1,14,0,2.24,151.5,98.13,21.79
2023,1,14,1,2.17,154,98.42,21.53
2023,1,14,2,2.16,155.3,98.8,21.26
2023,1,14,3,2.15,155.6,98.93,21.08
2023,1,14,4,2.1,155.5,99.03,20.94
2023,1,14,5,2.01,155.3,98.72,20.9
2023,1,14,6,2.25,158.9,94.84,22.44
2023,1,14,7,2.55,162.2,88.79,23.74
2023,1,14,8,2.47,168.8,82.9,25.07
2023,1,14,9,2.4,180.7,77.04,26.4
2023,1,14,10,2.43,191.6,72.73,27.4
2023,1,14,11,2.56,199.4,69.73,28.08
2023,1,14,12,2.81,204.2,68.16,28.36
2023,1,14,13,3.09,207.3,68.42,28.23
2023,1,14,14,3.35,207.2,70.07,27.76
2023,1,14,15,3.44,205.1,72.17,27.16
2023,1,14,16,3.57,204.1,76.63,26.28
2023,1,14,17,3.66,203.1,85.05,24.78
2023,1,14,18,3.21,201.6,93.74,23.41
2023,1,14,19,3.08,200.1,95.19,23.02
2023,1,14,20,2.82,200.1,95.92,22.71
2023,1,14,21,2.58,202.3,96.78,22.4
2023,1,14,22,2.41,202.9,97.34,22.18
2023,1,14,23,2.37,204.4,97.45,22.03
2023,1,15,0,2.38,208.1,97.34,21.94
2023,1,15,1,2.33,210.2,97.29,21.83
2023,1,15,2,2.27,210.7,97.4,21.7
2023,1,15,3,2.2,209.1,97.65,21.59
2023,1,15,4,2.14,208.5,97.77,21.48
2023,1,15,5,2.1,209.6,97.66,21.46
2023,1,15,6,2.76,212.1,94.57,22.55
2023,1,15,7,3.38,213.5,89.99,23.61
2023,1,15,8,3.39,216.7,84.87,24.78
2023,1,15,9,3.36,221.1,80.41,25.85
2023,1,15,10,3.53,224.9,77.63,26.42
2023,1,15,11,3.82,227.7,76.11,26.79
2023,1,15,12,4.08,230.4,74.85,27.04
2023,1,15,13,4.31,232.1,74.57,27.03
2023,1,15,14,4.44,233.2,75.26,26.68
2023,1,15,15,4.34,234.2,77.57,26
2023,1,15,16,4.02,234.7,82.2,25.05
2023,1,15,17,3.26,235.2,88.61,23.96
2023,1,15,18,2.65,236.3,92.88,23.06
2023,1,15,19,2.54,239.5,94.08,22.68
2023,1,15,20,2.49,243,94.81,22.38
2023,1,15,21,2.61,246.1,95.27,22.14
2023,1,15,22,2.69,248.2,95.84,21.95
2023,1,15,23,2.79,249,96.65,21.76
2023,1,16,0,2.99,247.2,96.97,21.74
2023,1,16,1,3.09,246.3,97.12,21.76
2023,1,16,2,2.7,242.9,97.52,21.68
2023,1,16,3,2.18,234.3,98.16,21.42
2023,1,16,4,2.05,232.7,98.06,21.37
2023,1,16,5,2.05,237.6,98,21.3
2023,1,16,6,2.24,242.3,95.73,22.2
2023,1,16,7,3.08,245.8,91.76,23.19
2023,1,16,8,3.15,253.2,87.3,24.13
2023,1,16,9,3.16,264.7,82.25,25.29
2023,1,16,10,3.38,274.1,78.66,26.13
2023,1,16,11,3.73,277.5,76.08,26.79
2023,1,16,12,4.13,277.4,74.54,27.23
2023,1,16,13,4.45,274.9,74.31,27.21
2023,1,16,14,4.55,272.5,75.24,26.93
2023,1,16,15,4.43,270.6,77.21,26.44
2023,1,16,16,4.11,267.6,81.11,25.68
2023,1,16,17,3.32,263.1,88.92,24.4
2023,1,16,18,2.59,260.4,94.55,23.28
2023,1,16,19,2.43,259.8,95.74,22.93
2023,1,16,20,2.31,257.8,96.24,22.68
2023,1,16,21,2.23,253.8,96.8,22.46
2023,1,16,22,2.14,249.4,97.05,22.34
2023,1,16,23,2.08,247.1,97.28,22.2
2023,1,17,0,2.08,245,97.54,22.06
2023,1,17,1,2.04,240.7,97.86,21.95
2023,1,17,2,2,235.6,98.04,21.86
2023,1,17,3,2,229.1,98,21.82
2023,1,17,4,1.97,224.6,98.06,21.74
2023,1,17,5,1.92,220.6,98.13,21.65
2023,1,17,6,2.2,214.1,95.54,22.73
2023,1,17,7,2.62,210.5,91.16,23.73
2023,1,17,8,2.23,211.6,86.36,24.59
2023,1,17,9,1.7,229.8,80.74,25.48
2023,1,17,10,1.73,260.7,76.18,26.28
2023,1,17,11,2.12,273,73.98,26.73
2023,1,17,12,2.51,273.9,72.81,26.88
2023,1,17,13,2.92,271.4,73.32,26.72
2023,1,17,14,3.29,268.3,76.74,26.06
2023,1,17,15,3.42,265.5,81.5,25.24
2023,1,17,16,3.13,262.6,86.42,24.39
2023,1,17,17,2.45,262,91.44,23.59
2023,1,17,18,1.75,262.4,95.28,22.94
2023,1,17,19,1.56,263,96,22.69
2023,1,17,20,1.54,264,96.28,22.49
2023,1,17,21,1.55,263.3,96.41,22.28
2023,1,17,22,1.6,262.8,96.78,22.06
2023,1,17,23,1.66,264.5,96.86,21.96
2023,1,18,0,1.67,266.6,97.17,21.7
2023,1,18,1,1.61,265.7,97.41,21.53
2023,1,18,2,1.52,259.8,97.04,21.41
2023,1,18,3,1.42,246.7,96.67,21.3
2023,1,18,4,1.38,236,96.64,21.19
2023,1,18,5,1.36,231.3,96.87,21.11
2023,1,18,6,1.64,231.4,94.02,22.27
2023,1,18,7,1.84,236.7,88.92,23.32
2023,1,18,8,1.9,247.4,83.46,24.38
2023,1,18,9,2.17,255.1,78.94,25.33
2023,1,18,10,2.39,257,76.27,25.9
2023,1,18,11,2.48,256.2,74.53,26.33
2023,1,18,12,2.6,254.6,73.43,26.55
2023,1,18,13,2.7,253.4,73.86,26.44
2023,1,18,14,2.66,251.8,76.26,25.98
2023,1,18,15,2.61,247.8,81.14,25.15
2023,1,18,16,2.5,241.3,86.93,24.24
2023,1,18,17,1.97,238.1,92.47,23.39
2023,1,18,18,1.37,237.2,96.11,22.76
2023,1,18,19,1.29,237.1,96.75,22.51
2023,1,18,20,1.3,238.5,96.86,22.31
2023,1,18,21,1.34,236.9,97.09,22.13
2023,1,18,22,1.38,233,97.17,21.99
2023,1,18,23,1.4,228.2,97.32,21.86
2023,1,19,0,1.44,223.3,97.57,21.67
2023,1,19,1,1.47,221.4,97.54,21.51
2023,1,19,2,1.49,222.8,97.41,21.39
2023,1,19,3,1.48,224.2,97.2,21.34
2023,1,19,4,1.42,227,97.08,21.31
2023,1,19,5,1.37,229.4,96.78,21.32
2023,1,19,6,1.4,229.4,94.98,22.25
2023,1,19,7,1.72,227.6,91.47,23.16
2023,1,19,8,1.69,228.6,85.21,24.29
2023,1,19,9,1.49,225.8,79.07,25.42
2023,1,19,10,1.49,233.2,75.72,26.06
2023,1,19,11,1.61,240.6,74.83,26.15
2023,1,19,12,1.95,248,75.8,26.01
2023,1,19,13,2.4,253.1,78.06,25.67
2023,1,19,14,2.83,253.2,81.8,25.04
2023,1,19,15,3.18,252.6,87.21,24.15
2023,1,19,16,3.3,251.1,91.7,23.47
2023,1,19,17,2.94,249.7,94.87,23.01
2023,1,19,18,2.64,248.5,96.05,22.77
2023,1,19,19,2.55,247.9,96.28,22.65
2023,1,19,20,2.49,246.6,96.28,22.54
2023,1,19,21,2.37,242.7,96.4,22.38
2023,1,19,22,2.11,239.2,96.83,22.16
2023,1,19,23,1.89,237.3,97.21,21.91
2023,1,20,0,1.76,236.1,97.49,21.68
2023,1,20,1,1.7,235.3,97.69,21.51
2023,1,20,2,1.67,236.2,97.61,21.39
2023,1,20,3,1.66,238.8,97.67,21.29
2023,1,20,4,1.64,237.5,97.64,21.21
2023,1,20,5,1.65,235.2,97.69,21.14
2023,1,20,6,1.87,229.8,95.22,22.17
2023,1,20,7,2.5,225.3,90.09,23.23
2023,1,20,8,2.66,224.7,84.86,24.22
2023,1,20,9,2.68,227.4,80.68,25.17
2023,1,20,10,2.84,230.9,78.05,25.74
2023,1,20,11,3.09,233.3,76.72,26.05
2023,1,20,12,3.41,234.1,76.85,26.03
2023,1,20,13,3.71,232.1,78.7,25.64
2023,1,20,14,3.83,228.1,82.2,24.96
2023,1,20,15,3.81,223.8,85.79,24.33
2023,1,20,16,3.59,220.9,89.53,23.7
2023,1,20,17,3,218.8,93.32,23.06
2023,1,20,18,2.31,216.4,95.68,22.45
2023,1,20,19,2.23,214.4,95.92,22.16
2023,1,20,20,2.23,212.9,96.12,21.97
2023,1,20,21,2.28,212.1,96.2,21.84
2023,1,20,22,2.34,209.7,96.3,21.73
2023,1,20,23,2.31,206.5,96.55,21.59
2023,1,21,0,2.21,205.5,97.08,21.42
2023,1,21,1,2.16,208.2,97.39,21.33
2023,1,21,2,2.2,210.3,97.55,21.18
2023,1,21,3,2.25,207.8,97.73,21.02
2023,1,21,4,2.16,202.9,98.24,20.8
2023,1,21,5,2.03,200.5,98.27,20.73
2023,1,21,6,2.4,204.9,94.78,22.27
2023,1,21,7,2.73,212.9,89.39,23.61
2023,1,21,8,2.52,225.6,83.04,24.89
2023,1,21,9,2.43,242.3,77.99,26.01
2023,1,21,10,2.6,252.1,74.78,26.8
2023,1,21,11,2.85,252.5,72.9,27.25
2023,1,21,12,3.21,249.4,72.05,27.35
2023,1,21,13,3.62,246.2,72.66,27.29
2023,1,21,14,3.85,242.3,76.63,26.51
2023,1,21,15,3.88,237.4,81.63,25.62
2023,1,21,16,3.9,232.4,86.8,24.67
2023,1,21,17,3.7,229.4,92.23,23.69
2023,1,21,18,3.47,228.5,95.18,23.07
2023,1,21,19,3.51,230.2,95.72,22.84
2023,1,21,20,3.49,231.2,96.06,22.65
2023,1,21,21,3.19,232.1,96.5,22.46
2023,1,21,22,2.76,231.9,96.93,22.26
2023,1,21,23,2.49,230.5,97.24,22
2023,1,22,0,2.08,226.9,97.87,21.82
2023,1,22,1,1.76,222.5,97.79,21.83
2023,1,22,2,1.72,218.4,97.73,21.78
